Taxa	BW8	GLUCOM
100002	731.06573	NaN
100102	638.06573	229.0
100202	649.06573	NaN
100402	691.93427	NaN
100502	308.0657	211.0
100902	714.93427	238.0
101002	942.93427	NaN
101202	419.9343	235.0
101402	549.93427	230.0
101502	595.93427	NaN
102202	167.9343	NaN
102302	382.9343	259.0
102402	680.06573	NaN
102502	612.93427	NaN
102602	931.06573	NaN
102702	474.0657	232.0
102802	629.93427	237.0
103002	600.06573	244.0
103102	791.93427	277.0
103202	507.9343	279.0
103302	437.9343	NaN
103502	661.93427	255.0
103602	730.06573	229.0
103702	520.93427	256.0
103802	834.06573	NaN
104002	829.06573	232.0
104202	667.06573	NaN
104302	691.93427	NaN
104402	1015.93427	251.0
104602	732.06573	222.0
104702	483.0657	221.0
104802	188.0657	268.0
104902	657.93427	NaN
105002	486.0657	NaN
105102	269.0657	NaN
105202	478.0657	279.0
105302	328.9343	255.0
105402	475.9343	NaN
105502	319.0657	NaN
105602	550.93427	NaN
105702	307.0657	NaN
105902	611.06573	NaN
106002	769.93427	314.0
106102	896.06573	NaN
106202	505.0657	NaN
106302	710.06573	261.0
106402	873.06573	238.0
106602	804.06573	235.0
106702	671.93427	312.0
106802	629.93427	250.0
106902	636.93427	NaN
107002	572.93427	315.0
107102	711.06573	NaN
107302	650.06573	270.0
107402	NaN	NaN
107502	1014.93427	268.0
107702	595.06573	NaN
107802	779.06573	287.0
107902	880.93427	NaN
108002	461.0657	296.0
108302	567.93427	NaN
108402	624.93427	NaN
108502	771.93427	284.0
108702	680.06573	245.0
108902	542.06573	NaN
109002	853.93427	NaN
109102	615.06573	NaN
109202	574.06573	NaN
109402	614.93427	349.0
109502	924.93427	NaN
109602	495.0657	NaN
109702	589.06573	NaN
109802	916.93427	NaN
109902	558.93427	327.0
110102	539.06573	NaN
110302	543.06573	287.0
110402	780.06573	NaN
110502	535.06573	NaN
110602	604.93427	NaN
110702	563.06573	NaN
110802	764.06573	344.0
110902	926.93427	342.0
111002	594.93427	286.0
111102	787.93427	NaN
111202	713.93427	NaN
111302	827.93427	NaN
111402	1057.9343	NaN
111502	175.0657	234.0
111602	761.93427	NaN
111702	342.0657	NaN
111802	598.06573	323.0
111902	633.93427	NaN
112002	214.0657	250.0
112102	588.06573	248.0
112302	597.93427	367.0
112402	614.06573	NaN
112502	NaN	NaN
112602	583.06573	278.0
112702	744.93427	350.0
112802	476.9343	306.0
112902	483.9343	310.0
113002	569.06573	388.0
113102	572.06573	394.0
113402	763.93427	275.0
113802	824.06573	NaN
113902	700.93427	NaN
114002	NaN	NaN
114102	327.0657	331.0
114202	602.93427	312.0
114302	NaN	NaN
114402	664.93427	251.0
114602	512.93427	NaN
114702	723.93427	274.0
114802	NaN	NaN
114902	629.93427	NaN
115102	740.93427	264.0
115202	NaN	NaN
115302	795.93427	NaN
115402	498.0657	275.0
115502	709.93427	274.0
115602	612.06573	NaN
115702	651.93427	308.0
115902	451.0657	NaN
116102	939.93427	301.0
116202	716.93427	NaN
116302	709.93427	280.0
116402	601.06573	NaN
116502	391.9343	NaN
116602	678.93427	273.0
116702	384.0657	NaN
116802	909.93427	215.0
116902	848.93427	291.0
117002	NaN	NaN
117102	678.93427	281.0
117302	570.06573	284.0
117702	NaN	NaN
117802	806.06573	296.0
117902	792.06573	NaN
118002	816.93427	307.0
118102	689.93427	282.0
118202	666.06573	NaN
118302	708.06573	257.0
118402	666.93427	344.0
118502	634.06573	264.0
118702	805.06573	214.0
118802	NaN	NaN
118902	568.93427	NaN
119002	NaN	NaN
119102	715.06573	NaN
119202	1117.9343	336.0
119302	NaN	NaN
119402	301.0657	200.0
119502	741.06573	220.0
119602	508.0657	NaN
119702	740.93427	NaN
119802	951.93427	NaN
119902	679.06573	246.0
120002	693.06573	233.0
120102	633.06573	209.0
120202	708.06573	211.0
120302	638.06573	NaN
120402	613.93427	NaN
120502	741.06573	NaN
120602	629.93427	NaN
120702	651.93427	305.0
120802	743.06573	NaN
121002	763.93427	275.0
121202	NaN	NaN
121302	691.06573	NaN
121502	310.0657	NaN
121602	768.93427	339.0
121702	558.93427	310.0
121802	635.06573	NaN
121902	NaN	NaN
122002	565.06573	NaN
122102	860.93427	303.0
122302	902.06573	NaN
122402	591.06573	291.0
122802	481.9343	NaN
122902	589.93427	308.0
123102	965.93427	NaN
123302	538.06573	224.0
123502	682.93427	NaN
123602	579.93427	280.0
123702	624.93427	267.0
123802	447.9343	313.0
123902	594.93427	NaN
124102	405.0657	261.0
124202	796.06573	NaN
124402	619.06573	NaN
124502	534.93427	277.0
124602	692.06573	NaN
124702	NaN	NaN
124802	307.0657	285.0
124902	590.93427	264.0
125002	344.9343	NaN
125102	433.9343	NaN
125202	160.9343	277.0
125302	525.93427	274.0
125402	712.93427	278.0
125502	NaN	NaN
125802	521.06573	NaN
125902	698.06573	257.0
126002	599.06573	225.0
126202	NaN	NaN
126402	689.93427	263.0
126602	NaN	NaN
126702	430.9343	NaN
126902	NaN	NaN
127002	NaN	NaN
127102	348.0657	258.0
127202	505.0657	NaN
127302	558.93427	NaN
127402	634.93427	NaN
127502	453.9343	256.0
127702	776.93427	NaN
127802	889.93427	319.0
128002	NaN	NaN
128102	706.06573	249.0
131202	NaN	NaN
132102	NaN	NaN
132202	442.9343	NaN
132302	603.06573	NaN
132502	679.06573	NaN
132802	598.06573	NaN
132902	437.0657	NaN
133102	807.93427	NaN
133202	560.06573	NaN
133302	581.06573	NaN
133602	542.06573	NaN
133902	398.9343	NaN
134002	711.06573	NaN
134102	571.06573	NaN
134202	660.93427	NaN
134302	720.06573	NaN
134402	762.06573	NaN
134702	636.06573	NaN
134902	771.93427	NaN
135002	699.06573	NaN
135102	549.06573	NaN
135202	626.06573	NaN
135302	631.06573	NaN
135402	500.9343	NaN
135502	1065.9343	NaN
135602	616.06573	NaN
135902	387.0657	NaN
136102	760.93427	NaN
136302	606.06573	NaN
136402	788.93427	NaN
136702	694.06573	NaN
136902	597.93427	NaN
137102	650.93427	NaN
137302	540.06573	NaN
137402	904.93427	NaN
137702	838.06573	NaN
137802	403.0657	NaN
137902	702.06573	NaN
138002	813.06573	NaN
138102	495.0657	NaN
138202	643.93427	NaN
138302	672.06573	NaN
138402	228.0657	NaN
138602	779.06573	NaN
138702	803.93427	NaN
138902	472.9343	NaN
139002	701.06573	NaN
139102	879.06573	NaN
139202	496.0657	NaN
139302	685.06573	NaN
139702	485.0657	NaN
139902	884.93427	NaN
140002	1091.9343	NaN
140102	612.06573	NaN
140202	809.06573	NaN
140302	644.06573	NaN
140402	930.93427	NaN
140602	544.06573	NaN
140702	642.06573	NaN
140802	679.06573	NaN
141002	622.06573	NaN
141202	633.06573	NaN
141302	823.93427	NaN
141402	771.93427	NaN
141502	778.06573	NaN
141602	896.06573	NaN
141902	812.93427	NaN
142002	887.93427	NaN
142102	719.06573	NaN
142202	668.06573	NaN
142302	483.9343	NaN
142402	615.06573	NaN
142502	723.93427	NaN
142602	521.06573	NaN
142802	658.06573	NaN
142902	792.06573	NaN
143002	661.06573	NaN
143202	918.93427	NaN
143402	498.0657	NaN
143502	941.06573	NaN
143602	741.93427	NaN
143702	642.06573	NaN
144302	734.06573	NaN
144502	446.9343	NaN
144902	798.93427	NaN
145202	941.93427	NaN
145302	817.06573	NaN
145402	830.93427	NaN
145502	942.06573	NaN
146302	486.0657	NaN
146402	368.0657	NaN
146802	817.06573	NaN
146902	550.93427	NaN
147002	401.0657	NaN
147102	720.06573	NaN
35002	855.93427	NaN
35102	933.93427	278.0
35202	586.06573	230.0
35302	610.93427	NaN
35402	783.93427	NaN
35502	653.93427	255.0
35602	586.93427	NaN
35702	746.06573	203.0
35802	738.93427	NaN
35902	705.06573	NaN
36002	683.06573	NaN
36102	933.93427	NaN
36402	730.93427	277.0
36502	586.93427	282.0
36602	615.06573	NaN
36702	600.93427	NaN
36802	602.06573	NaN
36902	676.06573	NaN
37002	639.93427	280.0
37102	623.93427	235.0
37202	352.0657	NaN
37302	609.06573	NaN
37402	817.93427	NaN
37602	784.93427	263.0
37802	544.06573	NaN
37902	705.06573	209.0
38002	676.06573	NaN
38102	190.0657	NaN
38302	580.93427	NaN
38402	NaN	NaN
38502	573.06573	NaN
38602	505.0657	226.0
38702	618.06573	NaN
38802	621.93427	233.0
38902	1038.9343	NaN
39002	1039.0657	NaN
39102	724.93427	NaN
39202	NaN	249.0
39302	561.93427	NaN
